Day,mean_ppmv_o3,Year,mean_ppmv_co,mean_ppmv_temp,mean_ppmv_o3_lag_1,mean_ppmv_co_lag_1,mean_ppmv_temp_lag_1,mean_ppmv_o3_lag_2,mean_ppmv_co_lag_2,mean_ppmv_temp_lag_2,mean_ppmv_o3_lag_3,mean_ppmv_co_lag_3,mean_ppmv_temp_lag_3,mean_ppmv_o3_lag_4,mean_ppmv_co_lag_4,mean_ppmv_temp_lag_4,mean_ppmv_o3_lag_5,mean_ppmv_co_lag_5,mean_ppmv_temp_lag_5
89,2.207868572528624e-06,2021,7.360980826075524e-07,225.65080350814762,2.1924448513708595e-06,7.796975544894854e-07,225.23428635023603,2.181360494982346e-06,7.54476983230433e-07,224.86068674642445,2.1698943417097716e-06,8.386061532150079e-07,224.09897456247464,2.2193043106769354e-06,8.034871829752599e-07,223.64675347470194,2.2476212539176304e-06,8.040293981205357e-07,223.42379968154987
90,2.1880950607513573e-06,2021,7.673674591419125e-07,225.6285366800265,2.207868572528624e-06,7.360980826075524e-07,225.65080350814762,2.1924448513708595e-06,7.796975544894854e-07,225.23428635023603,2.181360494982346e-06,7.54476983230433e-07,224.86068674642445,2.1698943417097716e-06,8.386061532150079e-07,224.09897456247464,2.2193043106769354e-06,8.034871829752599e-07,223.64675347470194
91,2.183167482435774e-06,2021,7.664899137334146e-07,226.06376007402213,2.1880950607513573e-06,7.673674591419125e-07,225.6285366800265,2.207868572528624e-06,7.360980826075524e-07,225.65080350814762,2.1924448513708595e-06,7.796975544894854e-07,225.23428635023603,2.181360494982346e-06,7.54476983230433e-07,224.86068674642445,2.1698943417097716e-06,8.386061532150079e-07,224.09897456247464
92,2.1752416886434824e-06,2021,7.400389085962972e-07,226.57426810211518,2.183167482435774e-06,7.664899137334146e-07,226.06376007402213,2.1880950607513573e-06,7.673674591419125e-07,225.6285366800265,2.207868572528624e-06,7.360980826075524e-07,225.65080350814762,2.1924448513708595e-06,7.796975544894854e-07,225.23428635023603,2.181360494982346e-06,7.54476983230433e-07,224.86068674642445
93,2.191033811558018e-06,2021,7.23736332145634e-07,227.0307024392871,2.1752416886434824e-06,7.400389085962972e-07,226.57426810211518,2.183167482435774e-06,7.664899137334146e-07,226.06376007402213,2.1880950607513573e-06,7.673674591419125e-07,225.6285366800265,2.207868572528624e-06,7.360980826075524e-07,225.65080350814762,2.1924448513708595e-06,7.796975544894854e-07,225.23428635023603
94,2.1731641786843667e-06,2021,7.282523924949684e-07,227.01757103237975,2.191033811558018e-06,7.23736332145634e-07,227.0307024392871,2.1752416886434824e-06,7.400389085962972e-07,226.57426810211518,2.183167482435774e-06,7.664899137334146e-07,226.06376007402213,2.1880950607513573e-06,7.673674591419125e-07,225.6285366800265,2.207868572528624e-06,7.360980826075524e-07,225.65080350814762
95,2.2172265450736776e-06,2021,6.728278803163303e-07,227.6951509541409,2.1731641786843667e-06,7.282523924949684e-07,227.01757103237975,2.191033811558018e-06,7.23736332145634e-07,227.0307024392871,2.1752416886434824e-06,7.400389085962972e-07,226.57426810211518,2.183167482435774e-06,7.664899137334146e-07,226.06376007402213,2.1880950607513573e-06,7.673674591419125e-07,225.6285366800265
96,2.2513383872847026e-06,2021,6.450075893855381e-07,227.8333319985214,2.2172265450736776e-06,6.728278803163303e-07,227.6951509541409,2.1731641786843667e-06,7.282523924949684e-07,227.01757103237975,2.191033811558018e-06,7.23736332145634e-07,227.0307024392871,2.1752416886434824e-06,7.400389085962972e-07,226.57426810211518,2.183167482435774e-06,7.664899137334146e-07,226.06376007402213
97,2.2121338144676672e-06,2021,6.356390670540214e-07,228.50571125881604,2.2513383872847026e-06,6.450075893855381e-07,227.8333319985214,2.2172265450736776e-06,6.728278803163303e-07,227.6951509541409,2.1731641786843667e-06,7.282523924949684e-07,227.01757103237975,2.191033811558018e-06,7.23736332145634e-07,227.0307024392871,2.1752416886434824e-06,7.400389085962972e-07,226.57426810211518
98,2.236970230980162e-06,2021,5.978058124623101e-07,228.67577807878843,2.2121338144676672e-06,6.356390670540214e-07,228.50571125881604,2.2513383872847026e-06,6.450075893855381e-07,227.8333319985214,2.2172265450736776e-06,6.728278803163303e-07,227.6951509541409,2.1731641786843667e-06,7.282523924949684e-07,227.01757103237975,2.191033811558018e-06,7.23736332145634e-07,227.0307024392871
99,2.223936858387687e-06,2021,6.057361964889326e-07,228.5454760075879,2.236970230980162e-06,5.978058124623101e-07,228.67577807878843,2.2121338144676672e-06,6.356390670540214e-07,228.50571125881604,2.2513383872847026e-06,6.450075893855381e-07,227.8333319985214,2.2172265450736776e-06,6.728278803163303e-07,227.6951509541409,2.1731641786843667e-06,7.282523924949684e-07,227.01757103237975
100,2.319022708192078e-06,2021,6.072464502259221e-07,229.53257807717608,2.223936858387687e-06,6.057361964889326e-07,228.5454760075879,2.236970230980162e-06,5.978058124623101e-07,228.67577807878843,2.2121338144676672e-06,6.356390670540214e-07,228.50571125881604,2.2513383872847026e-06,6.450075893855381e-07,227.8333319985214,2.2172265450736776e-06,6.728278803163303e-07,227.6951509541409
101,2.3689820130870593e-06,2021,5.686441354866057e-07,230.7973158698392,2.319022708192078e-06,6.072464502259221e-07,229.53257807717608,2.223936858387687e-06,6.057361964889326e-07,228.5454760075879,2.236970230980162e-06,5.978058124623101e-07,228.67577807878843,2.2121338144676672e-06,6.356390670540214e-07,228.50571125881604,2.2513383872847026e-06,6.450075893855381e-07,227.8333319985214
102,2.326405756421828e-06,2021,5.402271393994892e-07,231.1084055631199,2.3689820130870593e-06,5.686441354866057e-07,230.7973158698392,2.319022708192078e-06,6.072464502259221e-07,229.53257807717608,2.223936858387687e-06,6.057361964889326e-07,228.5454760075879,2.236970230980162e-06,5.978058124623101e-07,228.67577807878843,2.2121338144676672e-06,6.356390670540214e-07,228.50571125881604
103,2.351881056365209e-06,2021,5.179591305063455e-07,231.0602445738873,2.326405756421828e-06,5.402271393994892e-07,231.1084055631199,2.3689820130870593e-06,5.686441354866057e-07,230.7973158698392,2.319022708192078e-06,6.072464502259221e-07,229.53257807717608,2.223936858387687e-06,6.057361964889326e-07,228.5454760075879,2.236970230980162e-06,5.978058124623101e-07,228.67577807878843
104,2.258288168566684e-06,2021,5.073660719725135e-07,231.21681487503417,2.351881056365209e-06,5.179591305063455e-07,231.0602445738873,2.326405756421828e-06,5.402271393994892e-07,231.1084055631199,2.3689820130870593e-06,5.686441354866057e-07,230.7973158698392,2.319022708192078e-06,6.072464502259221e-07,229.53257807717608,2.223936858387687e-06,6.057361964889326e-07,228.5454760075879
105,2.2351617027324675e-06,2021,4.962389815965877e-07,231.3161775691655,2.258288168566684e-06,5.073660719725135e-07,231.21681487503417,2.351881056365209e-06,5.179591305063455e-07,231.0602445738873,2.326405756421828e-06,5.402271393994892e-07,231.1084055631199,2.3689820130870593e-06,5.686441354866057e-07,230.7973158698392,2.319022708192078e-06,6.072464502259221e-07,229.53257807717608
